category,category_name,tip
уход_за_телом_и_кожей,Уход за телом и кожей,"Держите ребёнка при себе как можно чаще. Контакт «кожа к коже» помогает малышу чувствовать безопасность, регулирует его дыхание и сердечный ритм, а также укрепляет эмоциональную связь между вами."
уход_за_телом_и_кожей,Уход за телом и кожей,"Всегда мойте руки перед тем, как взять малыша. У новорождённых ещё слабый иммунитет, и чистые руки помогут защитить его от инфекций."
уход_за_телом_и_кожей,Уход за телом и кожей,"Следите, чтобы в комнате температура держалась в пределах 20–22 °C. Перегрев опасен для ребёнка, поэтому лучше одеть его чуть легче, чем слишком тепло."
уход_за_телом_и_кожей,Уход за телом и кожей,"Проветривайте комнату не менее двух раз в день. Свежий воздух улучшает сон, аппетит и настроение ребёнка."
уход_за_телом_и_кожей,Уход за телом и кожей,Купайте малыша в воде температуры 36–37 °C. Это максимально приближено к температуре внутриутробной среды и помогает ребёнку чувствовать себя комфортно.
уход_за_телом_и_кожей,Уход за телом и кожей,Меняйте подгузник каждые 2–3 часа или сразу после загрязнения. Это снижает риск появления опрелостей и дискомфорта у малыша.
уход_за_телом_и_кожей,Уход за телом и кожей,"Подбирайте подгузники строго по весу ребёнка. Если они велики или малы, это может вызвать протекания или натирания."
уход_за_телом_и_кожей,Уход за телом и кожей,При покраснении кожи используйте защитный крем под подгузник. А ещё полезно иногда оставлять малыша без подгузника для «воздушных ванн».
уход_за_телом_и_кожей,Уход за телом и кожей,Не используйте жёсткое или ароматизированное мыло. Для новорождённых подойдут только мягкие детские средства без лишних добавок.
уход_за_телом_и_кожей,Уход за телом и кожей,"После купания промокайте кожу полотенцем, не растирая. Это поможет избежать раздражений и микротрещинок."
кормление,🍼 Кормление,"Кормите ребёнка по требованию, а не строго по часам. Такой подход лучше удовлетворяет его потребности и помогает сформировать здоровый аппетит."
кормление,🍼 Кормление,"В первые месяцы грудное молоко — самая полезная и естественная пища. Оно содержит антитела, которые защищают малыша от болезней."
кормление,🍼 Кормление,"Если вы используете смесь, выбирайте её строго по возрасту. Никогда не экспериментируйте без совета врача — у разных детей разная переносимость."
кормление,🍼 Кормление,"Держите бутылочку так, чтобы соска всегда была наполнена молоком. Это поможет избежать заглатывания воздуха и колик."
кормление,🍼 Кормление,После каждого кормления держите малыша вертикально 10–15 минут. Это уменьшает срыгивания и помогает газикам выйти.
