time;tip
2;Старайтесь кормить малыша по требованию — это помогает формировать здоровый режим.
2;Чаще держите ребёнка на руках — контакт и тепло родителей очень важны.
2;Кладите малыша на живот несколько раз в день по 1–2 минуты — укрепляются мышцы шеи и спины.
2;Следите, чтобы малыш спал только на спине и без подушек в кроватке.
2;Говорите спокойным голосом, малыш уже различает интонации.
2;Показывайте яркие предметы на расстоянии 20–30 см — зрение активно развивается.
2;Слушайте вместе тихую музыку или пойте колыбельные.
2;Улыбайтесь чаще — ребёнок начинает отвечать «социальной улыбкой».
2;Фиксируйте новые реакции и достижения на фото или в дневнике.
2;Регулярно гуляйте на свежем воздухе — это укрепляет иммунитет и улучшает сон.
2;Следите за температурой в комнате — оптимально 20–22 °C.
2;Используйте лёгкий массаж — поглаживайте ручки и ножки.
3;Включайте спокойные мелодии или пойте сами – голос мамы самый любимый.
3;Главное – чаще обнимать и говорить: «Я тебя люблю».
3;Гладьте малыша, улыбайтесь, разговаривайте – это формирует чувство безопасности.
3;Говорите с малышом медленно и спокойно – он уже различает интонации.
3;Делайте лёгкий массаж ножек и ручек, улучшая кровообращение и контакт.
3;Ежедневно выходите на свежий воздух – это полезно и для сна, и для иммунитета.
3;Избегайте перегрева – слишком тёплая одежда вреднее лёгкого холода.
3;Используйте мягкие слюнявчики, чтобы кожа подбородка не раздражалась.
3;Используйте простые погремушки – ребёнок начинает тянуться к предметам.
3;Кладите ребёнка на живот 3–4 раза в день по 3–5 минут, чтобы укреплять мышцы.
3;Кладите ребёнка только на спину, без подушек и игрушек в кроватке.
3;Кормите по требованию – в этом возрасте грудное молоко или смесь остаются главным источником питания.
3;Купайте малыша в тёплой воде (36–37°C), делая процесс спокойным и приятным.
3;Меняйтесь ролями – малышу важен контакт и с мамой, и с папой.
3;Может появляться слюнотечение – это норма и не всегда связано с зубами.
3;Не забывайте о профилактике рахита – давайте витамин D (по рекомендации врача).
3;Не забывайте о себе – отдых родителей важен для здоровья ребёнка.
3;Несколько минут в день держите малыша на груди без одежды – это укрепляет связь и успокаивает.
3;Одевайте по принципу «на один слой больше, чем на взрослого».
3;Отвечайте на «социальную улыбку» – это важно для эмоционального развития.
3;Отвечайте на гуление – диалог помогает развитию речи.
